name,country,date,review_score,review_header,review_body
Steve Sparks,US,"Dec 20, 2024",1,Scaleway is a complete awful,"Scaleway is a complete awful. They trap you with hidden billing policies that they deliberately don’t disclose where they should on the service creation page. Instead, they bury critical details in some obscure subdomain documentation, expecting you to hunt for it. I accepted their 24-hour minimum rule, but then I discovered they bill for the entire month unless you jump through hoops to delete the service. Who runs a business like this? Dishonest companies, that’s who. When I contacted support, I was met with canned responses and zero effort to actually address my concerns. It’s like they employ NPCs instead of actual humans. They either can’t read or deliberately ignore customer messages. Avoid Scaleway at all costs unless you want to be scammed and disrespected. This company doesn’t care about customers just your money."
Germano Costa,PT,"Dec 8, 2024",1,Can't give less,"This ""company"" is worst then OVH, i´ve ordered a server lowcost, which came with OLD OS. I´ve opened a ticket regarding this issue and ask why does my server don´t have lastest builds. Some agent awnsered saying that servers aren´t ""compatible"" :D, how funny is this awnser when nextly said ""please upgrade your server"", they offer a server with old OS and force you upgrade the server so you can use lastest OS (i assume you can use them). Theres no coerence when you provide windows server 2022 and say the server isn't compatible, so in low cost servers you will be vunerable, keep this in mind before order. I´ve ask my money back in 5/November, i got confirmation that i will get my money in ""SERVERAL WEEKS"", and until today i didn´t get my money and didn´t get awnser to last replys. My ticket ID is: 1464897 Subscriber number : 401271"
Zirgs,LV,"Dec 5, 2024",1,Absolute worst hosting company,Absolute worst hosting company. OnlineNet/scaleway is trash. Several catastrophic hardware failure with no way to restore the server. Support useless.
Dolphin,CY,"Nov 25, 2024",1,Scam,The quality of their services is extremely low. Support team responds once a week. They couldn't solve any problem. If you would have any issue with their service the will do nothing but charge you regularly for unprovided services. If you would try to revert the money via chargeback the will chase you via collector agency and then court. Do NOT ever use this awful service.
Gemini Zalupa,GE,"Nov 19, 2024",1,I created an instance,I created an instance. Deployed ELK for logs for my company. In 1 hour ssh stopped working and website terminal did not answer. Had to remove the instance with deployed data. Unfortunately cannot delete our card from billing - system does not allow.
Andy Gifford,GB,"Oct 22, 2024",1,Scaleway Agent response to my lost data,"Scaleway Agent Hello, Currently, this range of server operates on an architecture that, unfortunately, does not allow for the recovery of disks. This limitation is due to the specific design of our infrastructure on the entry-level range of this type of server. We fully understand that this may pose constraints and we apologize for any inconvenience. Unfortunately, it will be impossible for us to recover the data outside of the backups that you have in your possession. Regards, --- Vincent Roger Customer Excellence Specialist Scaleway Dedibox / Elements"
Cosmin Grigore,RO,"Oct 14, 2024",1,This is a scam company.,"This is a scam company. First I bought Apple Silicon instance IT NEVER WORKED and i asked for cancellation because i was losing time with chat bouncing back a solution that can't and didn't work. Now I am harassed by debt collectors because I won't pay for a product that I didn't use. You know how you feel when you're forced to pay for something you are not EVEN USING. I PAID IT, now die and leave me alone."
Ali Raza,DE,"Oct 14, 2024",1,i have from last 4 years 10 dedicate…,i have from last 4 years 10 dedicate server and now in one day 5 server working stop and i compalint with them after a whilke they stop responed there also and i am aksing them just give me ftp access to take my data now is more than 3 days but i did not get anything. stay away from them
IT Director,US,"Sep 13, 2024",1,Just another hosting company putting up…,"Just another hosting company putting up servers for hosting scammers. Abuse complaints are a joke. they make you fill out a complicated form that breaks each time you try to submit it. Email address bounces with a fill out this form, instead of just addressing the abuse complaint."
Dark Moon,BE,"Updated Aug 28, 2024",1,Scammer,"Have an account there for years, I was not using the service any more... they added an empty buckets and invoice me 2x 5€ I was not the one who added the empty! bucket, support refuse to cancel the invoice."
Francisco Javier Gonzalez,ES,"Aug 12, 2024",1,When you want to delete your resources,"When you want to delete your resources, they start to ask about verification of your profile. And they keep you charging"
nib klaueus,DK,"Jul 2, 2024",1,Horrible company,"Horrible company, I keep getting charged and I dont even know why, i cant ping domains all requests time out, been waiting for my refund for 7 days while they keep milking my money and their support never replies, this is PURE FRAUD. STAY AWAY."
Louis,FI,"Updated Jun 22, 2024",1,Absolutely terrible experience,"Absolutely terrible experience. After you already verified your payment method and set up servers, they require KYC. Also they require too much information, unlike any other server provider, bank account details, IDs, selfies, codes from bank statements, very fishy."
Othmane,FR,"Updated Jun 6, 2024",5,Amazing Postgres Managed Database Offering,"I'm leaving this review literally a few minutes after signing up to Scaleway. I have been benchmarking dozens of Postgres managed database providers and I can confidently say Scaleway comes on top. The UI/UX is really great, the dashboard easy to navigate and the configurability is perfect with various options. The onboarding experience was among the best if not the best I have had as a non-technical user. The pricing is greatin that it gradually scales and makes it affordable to help with early projects. It's transparent, and it's great that it also gives various speed/capacity options for storage separately from compute. I just wish it truly scaled to zero during times of inactivity, which would have allowed it to be truly billed by the minute for example - it's not the case with Scaleway, you provision an instance and it runs 24/7 which means you pay for it at all times. Performance-wise, I tested one of the smallest instances (DB-PLAY2-PICO at 1vCPU, 2GB RAM) and it was blazing-fast when compared to other managed database providers with a similar capacity. I rarely put reviews online but given the reviews I saw here and the amazing experience I've had so far I am doing so and encouraging everyone to give Scaleway a try. Great job to their product & engineering teams and I look forward to the rest of my experience using their services."
Poker Alumni,AU,"May 29, 2024",1,Hey @Scaleway,"Hey @Scaleway, we've been unable to access our dashboard and server for 3 months. We've tried reaching out multiple times with no response. What's the best way to get in touch?"
Nuno Monteiro,PT,"May 14, 2024",1,Run from Them! Hidden Costs & much more!,Be cautious of hidden costs with Scaleway! Even tho it looks like you buy hours of service that's false! They will invoice you for the month if you dont cancell even if you only placed 5 hours for example! They are pure scammers dont waste a single € here!
Bret McGee,GB,"Apr 23, 2024",1,Harbouring Cybercriminals,Harbouring Cybercriminals Company refuses to investigate a server collecting usernames and passwords from a massive botnet scanning my servers.
Javier,ES,"Apr 10, 2024",1,It's better if you run away. I have been with this company for years ...,"I have been with this company for years, I have had to change servers countless times due to the operation, because the server died, I have also been left without a server for 1 month due to a problem with the bills that there is no way to pay one having the credit cards. validated credit, giving an error in its permissions platform. Currently I have been waiting for 25 days for them to solve it and while my server is down. Stay away for your own good and mental health."
Someone,MT,"Mar 27, 2024",1,Hidden Costs and Indifferent Customer Service at Scaleway,"Be cautious of hidden costs with Scaleway. Their billing practices obscure transparency, making it challenging to track expenses due to some chargeable services not being visible in the user dashboard. Additionally, certain services are sometimes billed monthly, contrary to their advertised daily or lesser frequency. It is advisable to confirm any pricing with the helpdesk before utilizing services. My primary concern revolves around the lack of honesty and clarity in Scaleway's billing. Unexpected fees appeared on my bill without any prior indication or listing, casting doubt on the trustworthiness of [Provider Name]. This opacity, combined with a customer service team that appears indifferent to customer grievances, significantly erodes confidence in their services. If you're considering Scaleway, it is crucial to diligently monitor your bill for unforeseen charges and be prepared for a customer service experience that may fall short of providing adequate support and resolution."
Joel,NL,"Mar 3, 2024",1,Rebooted my dedicated server to lose…,"Rebooted my dedicated server to lose all my data You'd think I wouldn't fall for it twice, but the small dedicated servers they offer are very prone to failure. After several years, rebooting just kills them. Support can't do anything because all the nodes/blades are in the same unit and it would disrupt other customers."
Ali Omayrat,DE,"Feb 10, 2024",1,My account was locked without any…,"My account was locked without any reason. I maked normaly the Verifiying but still locked. No support, no communication. I go back to the previous company, better, faster und 5 star support"
Andrey Panin,KG,"Updated Feb 13, 2024",1,They took my personal data hostage,"tl;dr: Think twice about what you share with Scaleway. Use a throwaway dedicated virtual card to pay for their services. Never tie your physical debit or credit card to your account. I had a very bad experience with Scaleway. After signing up my account was immediately locked. That fact was understandable and not the main issue. But the real problem began when I tried to irrevocably delete my account. Turns out, that was not possible until I verify it - which I didn't want to do for a couple of reasons. Technical support played dumb and openly lied to me. Writing to the dedicated e-mail address for privacy topics had the same effect as speaking with the tech support. I wrote to their data protection officer (DPO) and never got a response. Basically, I felt absolutely helpless not being able to exercise my right under GDPR and have my personal data removed from their system. As of today, a month after last communication with their privacy person (who never introduced himself, so I had no idea who I was talking to), I don't know whether my account has been irrevocably deleted as they promised. Obviously, my recommendation for anyone is to stay away from this abomination of a company as possible. They are cowards."
Alex,US,"Jan 29, 2024",1,Absolutely horrible,"Absolutely horrible. My worst company experience in over 20 years of web hosting was Scaleway / ovh.net. Infrastructure is over-committed, services are slow, support doesn't care."
cbo,CH,"Jan 9, 2024",1,Beware of Scaleway - Shady Practices and Unethical Business Conduct,"I wish I could give Scaleway a lower rating than one star, as my experience with them has been nothing short of a nightmare. I feel compelled to share my story to warn others about the dubious practices of this company. I initially signed up with Scaleway because of their seemingly competitive prices and promising services. However, my perception quickly changed when I discovered their tendency to make significant changes to their terms and conditions without obtaining customer consent. The most alarming incident occurred when they silently modified their terms and conditions, resulting in unexpected charges to my account. To add insult to injury, they chose to notify customers of these changes through a newsletter with an unrelated subject. This sneaky tactic left many users, including myself, blindsided and frustrated. The lack of transparency and communication from Scaleway is appalling. As a customer, I believe I have the right to be informed about any alterations to the terms and conditions that may impact my account and finances. It is downright unethical for a company to make such changes without explicit consent and then hide behind obscure newsletters to announce them. Furthermore, their customer support is unhelpful and dismissive, refusing to take responsibility for their actions. Instead of addressing the concerns of their users, Scaleway seems more interested in squeezing additional funds out of unsuspecting customers. I strongly advise anyone considering Scaleway as a service provider to think twice. There are numerous reputable alternatives in the market that prioritize honesty, transparency, and customer satisfaction. Scaleway's underhanded tactics and lack of integrity make them a company to avoid at all costs. Your hard-earned money and peace of mind deserve better than what Scaleway has to offer."
Patrick Ciechonski,MQ,"Dec 26, 2023",1,I worked there..,"I worked there... 3 months ( Time to find anything else ) People that are hired have no clues what are they doing, some don't even have a IT background. Managers are simple jerks who never worked for another company, they're the part of Iliad Group, so the best 'pieces' from the 'best' customer service in France, notably FREE.fr, land there as Seniors or Managers. Yes it's the truth, they support scam and spam. I've found my personal data there from over 15 years ago, when I was a customer. CNIL isn't even reacting about the GDPR issue. They surely have them on their payroll."
Suprematy LLC.,LB,"Dec 12, 2023",5,Amazing Service!,"As a company focusing on generative AI, we can assure you that we would have been 50% slower without Scaleway, Scaleway's catalog not only includes the latest hardware such as the H100, but their pricing is very competitive, almost always half as expensive as major cloud providers, not only that, but our quota requests were always approved within 24 hours and without hassle"
Kamil Tamaka,PL,"Nov 26, 2023",1,Scaleway,"Scaleway, known as ""online.net"" is criminal supporter hosting. They allows for spam, phishing and don't even check ANY abuse. I didn't get reply for over 100 reports I send to them via SpamCop or directly. I send them also few messages via their ""contact form"" - also no reply. If you are criminal who sells drugs, weapon, steal money etc. I would recommend you that site. Otherwise keep away from these greedy id..ts away. These donkeys only likes money, they won't block your site no matter what you do."
Dillen Meijboom,NL,"Nov 24, 2023",1,Scaleway deleted all of our resources after failed payment <20 euro,"Scaleway deleted all of our resources just 20 days after a payment of less than 20 euros failed on our credit card. Unfortunately, their emails ended up in the wrong mailbox, and we failed to see them on time. Even so, this situation is quite unreasonable. A Kubernetes cluster, several S3 storage buckets, loadbalancers, everything is gone and unrecoverable."
Nitzan Bar,IL,"Oct 31, 2023",1,Stay away. The are a fraud!,"They locked me out an hour after opening the account. I had one server running for a day or two (which I couldn't even install since I was locked out). After sending them documents they decided I'm a fraud and locked me out for good, refusing to remove my credit card details and refund for the useless server I got from them."
Yop,IL,"Oct 16, 2023",1,"Long time scaleway user, zero support","I have been with scaleway for a number of years now. I've had issues but generally they were resolved, albeit with some hard work on my end and little help on theirs. But this time, it's completely different. My server has been down for more than a week. This is due to a change that they have made with their bootscript. I am in contact with them every day, it takes them a couple of hours each time to respond to my questions. Each time they disregard how urgent my request is and simply answer me in very high level instructions regarding how to ""fix"" the issue they caused. They seem to completely ignore the fact that my server is inaccessible and not displaying anything. I highly recommend you stay away from this company and any service that has to do with it."
Dumitru Uzun,PL,"Oct 11, 2023",1,"Blackmail to ""upgrade""","In addition to frequent downtime throughout my tenure with them, they blackmail me to ""upgrade"" to a more expensive VPS by using downtime: prnt.sc /oXus1mFLMdZF prnt.sc /ebDr_bU-2ilV They pretend to have deprecated the bootscript. Ok, but I don't want to spend time and resources every now and then to setup the machine that is supposed to run for years without intervention and restarts! This is happening the last two months. I did not have time to get to migrating to another service, but would never come back to this terrible service and would recommend everybody to keep away!"
WOIRAA,US,"Oct 5, 2023",1,THE WORST SERVICE,"Really the worst, worst service ever. They perform maintenance on the servers without notice, causing the service to go offline all together. I logged into the backend and it showed IP migration, thinking it was an IP failure that prevented me from connecting. Instead, when I clicked on it, it automatically moved to a flexible IP, charged a high fee and canceled the original public IP. Geez, what kind of design is this? It's a trap."
James,GB,"Oct 4, 2023",1,Unusable for serious work as support is…,Unusable for serious work as support is too slow.
samfozz,GB,"Sep 19, 2023",1,Sent some French debt collector after…,Sent some French debt collector after me for 5 euros they forgot to charge me for 4 years ago. Total morons. No customer service. Breaks UK and EU consumer laws. Avoid
Михаил Скорык,UA,"Aug 19, 2023",1,My server has been terminated without a…,My server has been terminated without a warning and reasonable proof of the violation. I suffered significant losses. I can’t get my data back from the server. The support has just been ignoring me for 2 weeks
Kunde,DE,"Aug 13, 2023",1,extremly expensive,"extremly expensive, you can not even remove your credit cards, it feels a perfect environement for ripping of customers, even though they gave me 1000$ credits i was skeptical about the usage of it. very bad company"
CMN atic CMNatic,GB,"Aug 4, 2023",3,"Cheap, okay performance, you get what you pay for","I've been using Scaleway on and off over 8 years, they're certainly getting better, but I think they should just stick to what they were good at. Cheap boxes. Support is slow and generally unhelpful, but you get what you pay for. I use Scaleway for dev projects or things that aren't going to stay around for long. Performance is ... average. Again, you get what you pay for. Image marketplace could be better IMHO, but it is what it is. I definitely wouldn't put anything production, business-oriented, or important on the platform. I've stuck with them because they're cheap and meet my needs if I want something to tinker with"
Chris Wilcox,GB,"Jul 21, 2023",1,They don't investigate phishing complaints with seriousness,"I've been receiving phishing e-mails pretending to be Facebook - I checked the IP in whois which identified it as being an IP 'owned' by scaleway.com - I reported it via a very unhelpful 'reporting portal' only to be told ""Good day, Your abuse request has been refused. Reason: the infringed content and/or the domain does not match the reported IP address. Please ensure that, prior to submit your abuse request, the reported IP is both the right one and matching all the infringed URLs and/or the domain. Regards."" Well I copy/pasted the information from the message source data - are they saying that the whole programming of e-mail headers is wrong..?!"
Leon van der Grient,NL,"Jul 12, 2023",5,"A good sustainable, European cloud provider","Last year we migrated part of our infrastructure from AWS to Scaleway. We were a bit hesitant because of all the negative reviews, but decided to give it a try. In the end we had only positive experience with Scaleway. They offer a wide variety of services at a good price. We haven't had any issues with billing. After a few months they contacted us to have a chat about our experience and our needs. Support is always quick, even without a support plan. Of course, I don't know what happened with the other reviews but if you're interested in a sustainable, European cloud alternative then I'd suggest to just give it a go and decide for yourself."
Nuno Cabecadas,PT,"Jul 7, 2023",1,Don't protect the Internet,"Don't protect the Internet, have daily spam from the same IPs and they do nothing. Reported the same scammers many times, have the confirmation mails and the spam just continue. They are useless, a shame for the IT world."
Pug Life Studio,RO,"Jul 4, 2023",5,Affordable and stable,"We've decided to move some serivces to Cloud to have the ability to scale up or down based on our requirements. After some investigations we decided to give Scaleway a chance despite the negative reviews on this page. We have a business account and the validation was smooth, we checked all validation types from billing information to phone and identity. We received a call from Scaleway next day after we've created the account so we got everything in place quite fast. The interface was easy to use and we've been able to quickly create serverless functions in multiple datacenters, db servers and domains immediately without any hassle. Currently we're pretty much satisfied with them and we would recommend them based on our experience."
Bryar Ghafoor بڕیار غفور,IQ,"Jul 4, 2023",1,Locked for no reason!,"I registered, verified my payment, wasted 1.06 euro then verified my phone, email, and I sent them my Driver License. They said it will be over in two hours, verfication process.. But after wasting my entirely time this was thier last reposne: Our Trust & Safety team has thoroughly reviewed the information provided, and we are sorry to inform you that your account will remain locked. They don't give damn care about customers!!"
Martyn,GB,"Jul 4, 2023",1,Random payments taken without explination. AVOID.,"I've never used their services,and £2 odd taken was from my bank, and I randomly get an 86p invoice? what the hell are they doing? Support doesn't care at all. I highly recommend people avoid and"
Jordan Simons,GB,"Jun 26, 2023",1,Facilitates and enables phishing,"Facilitates and enables phishing, fraud, scams and spam. No abuse@ reporting allowed. Web abuse form dubious and gives error messages despite being fully filled. Clearly happy to take money from criminals, thus criminals themselves"
STARasGAMES,PL,"Updated Jun 19, 2023",5,Apple silicon - does the job for a great price.,"Review is specifically about renting M1 mac, can't say anything about other services. Pros: - cheap - good speed - friendly support team Cons: - tricky to get started if you are not a DevOps I needed a MacOS device to test something quickly about my work. That's why I decided to rent it online cuz I need it only for a few hours. Found Scaleway, and got interested in quite cheap prices, currently it's smth like $0.11 per hour to rent M1 Mac. At first, I was very suspicious about Scaleway, after reading all the 1-star reviews here on Trustpilot. But I didn't want to pay +$60 using other companies, so I took a risk. I have never rented a remote PC before, so the setup steps with the VNC client, encryption, etc were painful not gonna lie. Spent about an hour just to see Mac login screen. Documentation was a great help. Then my experience was ruined by using VNCViewer, it's super laggy, ping about 2-5 seconds. At first, I thought it was Scaleway's fault, but after a few hours of pain I decided to try TeamViewer instead and oh boi, this was on another level. No lags no issues, it was almost instant. I also checked the speed from Mac to my current location using Speedtest and it was the maximum possible value that their speedo could show lol. Also, I created a support ticket. I wanted to pay my bills and forget cuz I don't need Mac anymore. Despite I didn't receive an instant reply, the support team is quite friendly and competent, I'm happy with that. Made an account on Trustpilot just to write down this review."
George Halkias,GR,"Jun 15, 2023",1,The worst of the worst!!!,The worst of the worst!!! After 3 days our server is still down from power outage and they don't know how to fix it.. They reply with lies and nonsence excuses... stay away from them!!!!
Jakob Maaløe,DK,"Jun 14, 2023",1,"No access to server, support not helpful","We needed a bare metal mac M1 to build a reactnative app and scaleway looked like a decent provider with reasonable pricing. Signup process was a hazzle. I tried to register as a company but was not allowed to do so since our email address was not professional enough. We use a gmail address in our starup. Started a private account just to get going. Entered a valid credit card but the signup process got stuck and I could not enter the same card since it was already registered. Tried to login by email, entered a CHAPTA challenge, entered som more CHAPTA, etc. and I finally got access by a magic link. I created a support case to help them improve. Was greated by a chat robot, got redirected to a human that never appeared. Created another support case and a friendly human apologized. No worries! It is just signup and signin they have trouble with. How about their service? Worst service ever! We somehow crashed our server and could not get access to it. Tried to reinstall it. Waited 10 hours but still no access. Created a support case and was asked to... reinstall the server since he could not see anything. Reinstalled again, wasted a day. Talked to some other supporter who would contact the developer team. They never returned. After some back and forth I escalated to a manager. About a week after we could not get access and no usable replies from support I closed our account. We did considder to just buy another mac from them but I really wanted to help them improve and look into why their server crashed. But no response from their developers after 6 days. No post mortem. We tried to buy another mac server but none was available. Some supporters were incompetent, some were friendly, but no one got our server back up and running. Wasted around $100 and more important a lot of time."
hicham kallouch,DZ,"Jun 7, 2023",1,trust and safety team has closed my…,"trust and safety team has closed my account without any reasons This company is racist from the director to the agents because im from arabic country i get this problem ""....."" I do not advise to buy any services from it there is a lot of similares and best company thank you"
Hayden,AU,"May 25, 2023",1,Complicit in spam distribution,"Scaleway rejects abuse@ emails, rejects spam complaints, and recently handled an authenticated spam complaint by letting the complaint be managed by the spammer themselves. Allows no further input after they close the complaint."
Ivan,UA,"May 9, 2023",1,Stay away from that company,"Firstly, I was unable to use the service as intended, which was frustrating. Despite my attempts to use the service, I encountered various technical difficulties that made it impossible to use. Secondly, when I tried to seek help with these issues, I found that there was no help available. The customer service was helpless, and I was unable to get any support or assistance in resolving the issues I faced. Thirdly, I was concerned about the inability to remove my CREDIT CARD details from their platform. This is a serious issue as it poses a risk to my personal and financial security. Lastly, the registration process was misleading, as it advertised charging money per hour, but in reality, the charges were levied for a minimum of 24 hours, regardless of usage. This is dishonest and lacks transparency, which undermines the trust that customers have in the company. Overall, based on my experience, I cannot recommend using the services of this company. The issues I faced, including technical difficulties, poor customer service, security concerns, and a lack of transparency, suggest that there are significant problems with their services that need to be addressed."
Redov,LB,"May 5, 2023",1,Beware of These Scammers,"I had a terrible experience with these dirty rats. They deceived me, stole my money, and blocked my account for no reason. Even when I asked for my money back, they refused to return it. Therefore, I advise you to stay away from their services, as they are nothing but scammers and first-order thieves."
Gosu,FR,"Mar 21, 2023",1,Scaleway is the worst cloud provider available on the market,"Scaleway is the worst cloud provider available on the market. They used low cost infrastructures, servers and networks peering. Their SAAS services are unstable and not scalables. This platform is only good for downloading non legit Torrent files. They don't care of that."
Sadie,US,"Mar 16, 2023",1,I have been trying to report spam and…,"I have been trying to report spam and illegal pornographic script coming to my email from one of their clients and each time I submit an abuse form it either rejects the IP address that has no space in front and is in their IP Network Range according to DNS or it is rejecting my Capta and has to redo it again and again. It is a scam I allege This has happened every single time I have tried, and I went to five different locations to access the link. I even signed up for a Google meet with Scaleway and the pin was not accepted for a ""recent event."" 10 AM CST this company is a sleaze despicable French Company that you should stay away from."
anon,US,"Mar 4, 2023",1,Fraudsters,They continue to charge you after you cancel the service and act confused when you contact customer service. They are fraudsters and not to be trusted. Avoid!
Agata D.,TH,"Mar 2, 2023",1,This is a thief company,Avoid this company - I bought services from them I tested one day and deleted my account - since then every month they charge me from my account every month. Despite the contact in all ways (nearly 10 times) they did not delete the account and charge fees. I haven't met such a bad company in my life. Avoid!
Bernard Saultier,ES,"Feb 10, 2023",1,"Horrible service, totally unreliable","Twice in a span of 12 months a dedibox server has crashed beyond recovery. When you lose access to the server, you'd better also lose all hope, since the server is long gone. After writing to the support team, you will get an answer such as: ""Indeed, it does not respond at all, either in normal mode or in rescue mode, the data on it is lost, because the type of chassis does not allow a physical intervention on your machine without cutting the neighbouring machines."" The only options they offer are ""upgrade to another machine"" (your data is also lost) or ""request a refund"". Shame. Stay away from Online.net or Scaleway. Stay away from dedibox hosts. Get your business elsewhere."
Myriam Zeimet,DE,"Feb 8, 2023",1,Scam company,Scam company. Don’t trust them and don’t buy here! You can thank me later for saving your money and lot of headaches.
Johannes,DE,"Feb 8, 2023",5,Very satisfied overall,"Very satisfied overall, good StarDust Instances but a bit slow DEV Instances (CPU)"
AmirMohammad Ghorbanzadeh,TR,"Jan 23, 2023",1,No support. Just money,They are limited my access to instances ( I have more than 15 server on it ). I cannot use them but i should pay for them. Trouble support and they are not answered even after more than 3 days.
