name,country,date,review_score,review_header,review_body
Nenad M.,RS,"Mar 21, 2024",5,Review after 1 year using Cherry Servers,"I used their dedicated servers for a year and this is my opinion of Cherry Servers. During the time I used the server there were only 3 maintenances from the server provider and every time it happened I was informed at least a day before. Surprisingly it never interfered with my services and I ran the server without any problems. Their support is great and ready to help. For example I had a problem with the payment not going through and lucky me I decided to do the payment the last day. I reached out to support about the problem and they extended the period by 24 hours plus they helped with the payment go through. Their support team usually responds quickly. Their prices are very reasonable for the quality of service they provide. So here are my pros and cons about using Cherry Servers Pros: - Great customer support - Very dependable servers, there wasn't a single hiccup in a year - Servers can additionally get configured if you need any more RAM or Storage space for example, or maybe you need more Backup storage or maybe you need a GPU - They do have some basic ""how to set up"" guides that could be helpful for beginners - If you are into crypto or are doing some crypto related stuff than this info will be useful: Cherry Servers is pro crypto and they accept crypto payments Cons: - I am kind of nitpicking here but the only thing that is bothering me is their dedicated server selection. Sometimes the servers just get taken fast. So if you find the server you like check if there are any in stock."
customer,EE,"Feb 17, 2024",5,Very professional,"Very professional, friendly, flexible service. Only adding hosting side DNS management could make it even better. Anyway all good, definite 5+"
joel,FR,"Jan 16, 2024",4,Good and affordable Cloud servers,"Cherry Servers is a good cloud provider. Prices are cheap, but you get excellent hardware and accurate support. When I had issues, they were always there to solve them. The only point where they can improve is the availability of a box in a decent time. For example, often, when you order a dedicated server, it takes more than 15 minutes to pop up. So I hope that can improve on this side. Finally, I really happy to use Cherry Servers !"
CREADIV,RO,"Jan 3, 2024",2,SMTP services (emails)…,"If you are using SMTP services (emails) the limits are ridiculos - 2 emails sent per machine per hour. The bad thing is that they don't seem to mention these limits before paying for the services. ""SMTP error from remote mail server after end of data: 450 4.7.1 Temporary delayed by rate limit for new clients, try later (2/h)"" ToS section 6.4. ""Cherry Servers reserves the right to monitor outgoing SMTP service traffic for security and spam prevention purposes."""
Customer,MT,"Dec 31, 2023",5,Perfect service,The system is very suitable for adapting to specific needs. The team is skilled and helpful
Customer,VG,"Nov 1, 2023",3,The price of services is a bit high,
Edmund,NL,"Oct 31, 2023",5,"Easy to deploy, Good price, Crypto payments",I have been using virtual shared servers for the past three months. Everything is working fine. - Easy to deploy servers - Good price - Cryptocurrency payments - Relevant support responses
Alex,CY,"Oct 11, 2023",5,Very reliable service,"Very reliable service! Been using Cherry for almost 3 years and we’ve almost never had any downtime. Whenever we need help, their customer support team responds super quickly and everything gets resolved quickly. They’re a reliable partner to us and we look forward to working with them for many more years! I highly recommend them."
George H,DE,"Sep 29, 2023",5,Great service and availability!,
Vrea,MU,"Sep 25, 2023",5,Their response time's to inquiries /…,Their response time's to inquiries / assistance required is phenomenal!
Customer,EG,"Sep 5, 2023",5,The best company ever..,
Kostas V,LT,"Aug 17, 2023",5,The best cloud services for affordable…,The best cloud services for affordable price!
Rolando López,MX,"Jun 19, 2023",5,inmediat response,god and servicial comunication
Rock,CN,"Mar 25, 2023",5,good user experience,"timely, friendly and professional"
advertiser,KE,"Mar 5, 2023",5,google search omoronton,
Lucsas,GB,"Feb 20, 2023",5,I love competent and orderly people,I love competent and orderly people. That's why great respect cherryservers
Kevin,UA,"Updated Feb 28, 2023",1,WAS the best hosting service,"was the best hosting service, but now without identity verif i cant create account and setup VPS for my clients, i want to cry stop use KYC, you will lose a lot of customers."
Customer,UA,"Feb 14, 2023",5,Very fast tech support,
Adam,AU,"Feb 14, 2023",5,Above and beyond: Best support ever,"We started with a single box to test, then scaled quickly with some very unique and complicated requirements. I've been renting servers in one form or another for the last 15+ years, and I can honestly say we've never had the level of support that we've experienced with Cherry Servers. We highly reccomend them! Pricing has also been really competitive, which is very important during a bear market. NOTE: They are also a Crypto Proof of Stake (PoS) Validator Friendly service provider for their bare metal boxes!"
Kovic,LT,"Jan 21, 2023",5,Great customer support,Great customer support and communication. They helped me though I did some big mistakes and everything settled out easily with their help.
Dr. Javan,US,"Jan 11, 2023",5,Good Control Panel UI and Support,Good Support. Good Control Panel and UI.
Asif Javed,PK,"Dec 31, 2022",5,Product Manager,Best and great service.
Ali S,BR,"Dec 28, 2022",5,Great support,Great support. Affordable price and easy to use.
Customer,IN,"Dec 22, 2022",5,Excellent support and affordable price,"Support is always quick to respond with a solution anytime of the day, affordable price and fast custom server deployment time."
wecancity,EG,"Dec 9, 2022",5,Super fast when i order new server otr…,"Super fast when i order new server otr new add ons , best of the best live support and the guys dfrom live support help with love thankyou 🙏🏻"
Hossein sanati,LT,"Dec 5, 2022",5,Thanks for the support,I am satisfied with your support.
Customer,BG,"Nov 10, 2022",5,Quick response and trustworthy provider,
Customer,IR,"Sep 13, 2022",5,Best ever cloud provider,"Best cloud services, best bandwidth and best support team."
Customer,US,"Jul 26, 2022",5,Quick,"Quick , responsive support. Excellent network architecture. Easy to use control panel for launching servers. Very intuitive and easy to understand."
Customer,GB,"Jul 15, 2022",5,The most honest review I have ever…,"The most honest review I have ever written in my life. I had a few issues by my side and Cherry Support helped me a lot by giving them access to my server and they fixed everything. Now I am working on the server as a BOSS without any problem just because of the best support in the world. Thank you very much, Cherry. Infinite starts to you <3"
Rick,US,"Jul 5, 2022",5,Good customer service at Cherry Servers…,"The customer service at Cherry Servers is very good. Agents are patient, kind, professional, and do not push one to buy. They genuinely help one find the solution that is best suitable for them."
Ivadev,IE,"Jun 22, 2022",5,very good,Service is very good!
Henk Jan Bergevoet,ES,"Jun 18, 2022",5,Excellent company always ready to help…,Excellent company always ready to help fast response we have servers in several companies but cherry servers belong to one of the best in term of service and they always fix fast issues if needed
Hack Simo,MA,"May 24, 2022",5,Good and nice wa tnk you all,
Mohammed Burgess,GB,"May 23, 2022",5,Great customer support as a new…,"Great customer support as a new customer, extremely helpful in helping me find the ideal solution for my existing projects."
Afroz khan,IN,"May 19, 2022",5,Great customer support is very…,Great customer support is very important to businesses these day's. Amazing support from cherry servers
Rabah Hamidi,DZ,"May 3, 2022",1,💚❤️❤️❤️❤️❤️,
Customer,LT,"Apr 15, 2022",5,Great customer service,Great service. Almost instant customer service reply.
Yacine Rahmani,DZ,"Apr 11, 2022",5,Since 2014 with them.,"I have been with them for years, since 2014 actually. Even before the name change. I've never had a single issue with them. Great service, great offers, wonderful stability and superb support. I totally recommend them."
Hayder,IQ,"Mar 25, 2022",4,One of The Best,"Cherry Servers is one of the best, I started with one bare metal dedicated server with them in 2017, and now I have eight ones, very good price, and very good and very fast support, but I hope they can reduce the price of their big HDDs"
Richard Villiers,AU,"Mar 16, 2022",5,Very impressed with their commitment to…,Very impressed with their commitment to internet safety.
Customer,TH,"Mar 13, 2022",5,Very good service support and fast…,Very good service support and fast server
Customer,UA,"Mar 9, 2022",5,Very good service,
Customer,LK,"Mar 4, 2022",4,Not bad,Not bad Thanks. Sir!
customer,ZA,"Feb 7, 2022",5,The customer service is excellent,"The customer service is excellent, what they said they will provide is indeed what they provide, no hidden costs, no fudging of bandwidth etc. Honest, reliable service all the way. Keep it up"
Customer,CI,"Jan 10, 2022",5,Too much cute than Contabo,Too much cute than Contabo. Be blessed guys
Customer,ID,"Jan 4, 2022",5,give me please,I am enjoy to earn money with handphone
Danijel Kotur,RS,"Dec 31, 2021",5,Reliable,"Reliable, easy to work with, flexible-helpful, super professional. Highly Recommend Cherry Servers, you won't have a headache."
Uk Monor,KH,"Dec 21, 2021",5,"LifeSavvy Media, 21010 Southbank St., #4015 Sterling, VA 20165",
Customer,PG,"Dec 18, 2021",5,Very helpful services.,
TSA,UA,"Dec 14, 2021",5,Nice service!,
Andrea Mann,GB,"Sep 12, 2021",5,Great service,"Great service, good support!"
Tiger Manish,NP,"Feb 10, 2021",4,The service was great,The service was great. And we will be a good time to this service.
Alan Pleasure,PL,"Nov 4, 2020",5,Great service,"Great service. Very clean and intuitive dashboard, server itself is very fast, even tho I bought the cheapest one. Support is responsive and polite. I do recommend Cherry Servers!"
Marques Brownlee,DE,"Aug 31, 2020",5,They are great,They are great. They reply every time when i have questions (and when I have dumb questions). They always helped me.
Haider Abbas,IQ,"Aug 20, 2020",5,The Best Company I know,"I started my servers business in 2012, I used to change server providers almost every year because of bad service/support, then I started dealing with Cherry Servers on the beginning of 2017, and I am still with them because they are the best I know, the good news is that my business has doubled :) I started with 2 dedicated bare metal servers from Cherry Servers and now I have 4 :) and I don't feel worry about support, it is the best :)"
Ralf Peppekus,AE,"Jun 29, 2020",5,Flawless!,"Servers were deployed fast, access was easy and reliable. Everything was painless and quick - and if there is nothing to complain, it's flawless. :-) I would certainly use Cherry servers again for my next project!"
Waheed Sons,PK,"May 19, 2020",5,Quick Response and Excellent Services.,
Kevin Smid,NL,"Mar 26, 2020",1,support lacking in knowledge and effort,"Get accused of a ddos for running folding@home which is clearly not a ddosing client, support cant do anything and tells you to contact networking which isnt very helpful. Support should do those thing for you"
Andrew,EE,"Nov 25, 2019",5,Very reliable servers and great…,Very reliable servers and great support. Highly recommend.
ABDULQADER,QA,"Apr 4, 2019",5,This is the best company provide…,"This is the best company provide Servers, i have work with them over 1 year now, I hope if they open More data Center near Asia Location"
